Egy	FR0.25T	FR0.5T	FR0.75T	FR1T	FR1.2T	FR1.4T	
2.057	-0.038701	-0.083475	-0.12557	-0.16987	-0.20239	-0.23835
2.056	-0.039939	-0.087525	-0.12645	-0.17018	-0.20222	-0.23769
2.0551	-0.036111	-0.083472	-0.12681	-0.16854	-0.20078	-0.23763
2.0541	-0.041054	-0.08458	-0.12591	-0.1695	-0.20217	-0.23704
2.0532	-0.04038	-0.086661	-0.12862	-0.16858	-0.20231	-0.23881
2.0523	-0.038099	-0.084573	-0.1282	-0.16897	-0.20145	-0.23739
2.0513	-0.037834	-0.083916	-0.12631	-0.16604	-0.20125	-0.23661
2.0504	-0.038896	-0.086469	-0.12507	-0.16474	-0.20157	-0.23606
2.0494	-0.041622	-0.08437	-0.12634	-0.16937	-0.20433	-0.23855
2.0485	-0.040258	-0.084619	-0.12576	-0.16765	-0.1996	-0.23677
2.0476	-0.039426	-0.088164	-0.1259	-0.16932	-0.20233	-0.23837
2.0466	-0.039287	-0.085342	-0.12704	-0.17098	-0.20179	-0.23789
2.0457	-0.038533	-0.083214	-0.12688	-0.1674	-0.20251	-0.23658
2.0448	-0.038737	-0.083867	-0.12685	-0.1689	-0.20116	-0.23677
2.0438	-0.037328	-0.084206	-0.12516	-0.16622	-0.20015	-0.23641
2.0429	-0.036831	-0.084599	-0.12538	-0.1656	-0.20012	-0.23496
2.042	-0.03981	-0.083441	-0.12532	-0.16916	-0.20117	-0.23742
2.041	-0.038512	-0.084523	-0.12478	-0.16648	-0.20008	-0.23647
2.0401	-0.039539	-0.08397	-0.12298	-0.16672	-0.20048	-0.23469
2.0392	-0.039172	-0.083947	-0.12411	-0.16897	-0.20195	-0.23383
2.0382	-0.03995	-0.082792	-0.12503	-0.16955	-0.19984	-0.23577
2.0373	-0.03917	-0.084981	-0.1264	-0.16658	-0.20032	-0.23544
2.0364	-0.038356	-0.083593	-0.12352	-0.16738	-0.1988	-0.23377
2.0355	-0.037415	-0.084014	-0.12516	-0.16646	-0.19862	-0.23613
2.0345	-0.038154	-0.084221	-0.12512	-0.16561	-0.1985	-0.23471
2.0336	-0.037628	-0.081452	-0.1236	-0.16544	-0.20123	-0.23348
2.0327	-0.038575	-0.083111	-0.12554	-0.16682	-0.20062	-0.23149
2.0318	-0.037749	-0.084425	-0.12387	-0.16615	-0.20015	-0.2329
2.0308	-0.036222	-0.083236	-0.12515	-0.16511	-0.19927	-0.23314
2.0299	-0.036354	-0.082391	-0.12379	-0.1663	-0.19815	-0.23266
2.029	-0.037581	-0.082835	-0.12361	-0.16535	-0.19706	-0.23409
2.0281	-0.037016	-0.078943	-0.1231	-0.16467	-0.19609	-0.2313
2.0272	-0.038393	-0.083583	-0.12274	-0.16377	-0.19799	-0.22971
2.0262	-0.038756	-0.083872	-0.12334	-0.16305	-0.19916	-0.23397
2.0253	-0.037159	-0.081342	-0.12503	-0.16399	-0.19859	-0.23153
2.0244	-0.037677	-0.084241	-0.1245	-0.16518	-0.19896	-0.23197
2.0235	-0.039007	-0.081522	-0.12296	-0.16564	-0.20147	-0.231
2.0226	-0.037762	-0.08487	-0.12432	-0.16405	-0.19853	-0.2292
2.0217	-0.040046	-0.083691	-0.12313	-0.1634	-0.19728	-0.22961
2.0208	-0.037362	-0.084985	-0.12366	-0.16407	-0.19792	-0.23265
2.0198	-0.037765	-0.082997	-0.12202	-0.16586	-0.19979	-0.23145
2.0189	-0.038704	-0.082726	-0.12328	-0.16353	-0.19765	-0.22964
2.018	-0.04008	-0.084226	-0.12353	-0.1633	-0.19819	-0.23082
2.0171	-0.037763	-0.083118	-0.12223	-0.16741	-0.19755	-0.23224
2.0162	-0.035999	-0.081131	-0.12165	-0.16428	-0.19893	-0.23035
2.0153	-0.036838	-0.080426	-0.1186	-0.16195	-0.19458	-0.23051
2.0144	-0.03849	-0.08016	-0.11883	-0.16328	-0.19545	-0.22923
2.0135	-0.033831	-0.081588	-0.11957	-0.16015	-0.1952	-0.22999
2.0126	-0.03885	-0.080455	-0.12121	-0.16188	-0.19489	-0.22802
2.0117	-0.038951	-0.0804	-0.1207	-0.16205	-0.19849	-0.22985
2.0108	-0.039913	-0.081646	-0.12249	-0.16238	-0.19722	-0.23016
2.0099	-0.037607	-0.082437	-0.11861	-0.1611	-0.19587	-0.22957
2.009	-0.039016	-0.081343	-0.12107	-0.16428	-0.19595	-0.22849
2.0081	-0.037597	-0.08057	-0.12006	-0.1647	-0.19581	-0.22815
2.0072	-0.033653	-0.080914	-0.12072	-0.16229	-0.19477	-0.22816
2.0063	-0.036357	-0.079982	-0.12092	-0.16262	-0.19344	-0.22574
2.0054	-0.036894	-0.079097	-0.12075	-0.16289	-0.19511	-0.22561
2.0045	-0.034741	-0.078684	-0.1188	-0.16141	-0.19559	-0.22711
2.0036	-0.034949	-0.081914	-0.11905	-0.16076	-0.1951	-0.22732
2.0027	-0.036944	-0.08242	-0.12033	-0.16065	-0.19446	-0.22584
2.0018	-0.03544	-0.080194	-0.12097	-0.16097	-0.19541	-0.22778
2.0009	-0.035547	-0.08124	-0.11747	-0.1587	-0.19101	-0.22571
2	-0.036105	-0.079398	-0.1197	-0.15967	-0.1936	-0.22527
1.9991	-0.037164	-0.08246	-0.11812	-0.16171	-0.19486	-0.22419
1.9982	-0.036134	-0.079035	-0.11638	-0.15996	-0.19374	-0.22536
1.9973	-0.033073	-0.079532	-0.11924	-0.16058	-0.19225	-0.22463
1.9964	-0.038378	-0.079137	-0.12014	-0.1573	-0.19407	-0.22572
1.9955	-0.035086	-0.0785	-0.11767	-0.1621	-0.19346	-0.22558
1.9947	-0.037892	-0.080593	-0.11854	-0.1599	-0.19193	-0.22483
1.9938	-0.036631	-0.079968	-0.11878	-0.15912	-0.19297	-0.22653
1.9929	-0.035695	-0.079687	-0.11764	-0.15952	-0.18926	-0.22417
