Egy	FR0.25T	FR0.25T corrected	FR0.5T	FR0.5T corrected	FR0.75T	FR0.75T corrected	FR1T	FR1T corrected	FR1.2T	FR1.2T corrected	FR1.4T	FR1.4T corrected
2.2857	-0.0014179	0.01588	-0.0074059	-0.010471	-0.0044382	0.0033486	-0.0050967	-0.0086166	-8.2131E-4	9.9034E-5	-0.0065577	-0.0064384
2.2846	3.8261E-6	0.017301	-0.0027421	-0.0058076	-0.0013614	0.0064255	7.1376E-4	-0.0028061	-4.0154E-4	5.188E-4	-0.0033406	-0.0032212
2.2834	-7.7853E-4	0.016519	-0.0041744	-0.0072399	-0.0024964	0.0052905	-0.0022592	-0.005779	-0.0020312	-0.0011108	-0.005118	-0.0049986
2.2822	-0.0014314	0.015866	-0.0075427	-0.010608	-0.0016194	0.0061675	-0.0034139	-0.0069337	-0.0038293	-0.002909	-0.0078448	-0.0077255
2.2811	0.0031971	0.020495	-2.1636E-5	-0.0030871	0.0012824	0.0090692	0.0011713	-0.0023486	9.8042E-4	0.0019008	-0.0030213	-0.002902
2.2799	7.4006E-4	0.018038	-0.0047987	-0.0078642	-1.1154E-4	0.0076753	-0.0018942	-0.0054141	-0.0019682	-0.0010478	-0.0033886	-0.0032692
2.2787	-7.9028E-4	0.016507	-0.0060925	-0.009158	-0.0023084	0.0054785	-0.0011428	-0.0046627	-3.1E-5	8.8934E-4	-0.0032745	-0.0031551
2.2776	0.0020472	0.019345	-0.0043048	-0.0073703	-0.0016837	0.0061031	-3.8087E-4	-0.0039007	-0.0010688	-1.4844E-4	-0.0035767	-0.0034573
2.2764	-0.001822	0.015476	-0.0070635	-0.010129	-0.0018964	0.0058904	-0.0010084	-0.0045282	-0.0019902	-0.0010699	-0.0049201	-0.0048007
2.2752	9.858E-4	0.018283	-0.0024415	-0.005507	4.5084E-4	0.0082377	0.001852	-0.0016679	7.4835E-4	0.0016687	-0.0011311	-0.0010117
2.2741	-0.0025834	0.014714	-0.005959	-0.0090245	-0.0035232	0.0042636	3.5292E-5	-0.0034845	-0.0015478	-6.2746E-4	-0.0039382	-0.0038188
2.2729	-0.0013453	0.015952	-0.0053959	-0.0084614	-0.0024203	0.0053665	8.2886E-4	-0.002691	-0.0023003	-0.00138	-0.0033578	-0.0032384
2.2717	-0.0028969	0.014401	-0.0086095	-0.011675	-0.0026319	0.0051549	-0.001608	-0.0051278	-0.0025989	-0.0016785	-0.0027909	-0.0026716
2.2706	0.0012939	0.018591	-0.0052622	-0.0083277	-0.0025311	0.0052557	-5.7278E-4	-0.0040926	7.8781E-5	9.9913E-4	-0.0027662	-0.0026469
2.2694	-0.0027668	0.014531	-0.0064128	-0.0094783	-0.0030304	0.0047564	-0.0046225	-0.0081424	-0.0038767	-0.0029563	-0.0064411	-0.0063217
2.2683	0.0026601	0.019958	-0.0030796	-0.0061451	7.4665E-4	0.0085335	-0.0019801	-0.0055	0.0019162	0.0028365	-9.6384E-4	-8.4447E-4
2.2671	-0.0048699	0.012428	-0.0098993	-0.012965	-0.0061533	0.0016335	-0.0057071	-0.0092269	-0.0025409	-0.0016205	-0.0067258	-0.0066064
2.266	1.7435E-4	0.017472	-0.0029809	-0.0060464	0.0019613	0.0097481	4.4052E-4	-0.0030793	0.0040526	0.004973	8.0936E-4	9.2873E-4
2.2648	-2.7848E-4	0.017019	-0.0020476	-0.0051131	6.2073E-6	0.007793	1.9874E-4	-0.0033211	0.0022502	0.0031705	-0.0036222	-0.0035028
2.2636	-0.0039091	0.013388	-0.0051831	-0.0082486	6.5304E-4	0.0084399	-0.0025695	-0.0060893	-0.0018116	-8.9127E-4	-0.005998	-0.0058787
2.2625	-1.3054E-4	0.017167	-0.002382	-0.0054475	-3.5514E-4	0.0074317	5.8363E-5	-0.0034615	7.6029E-4	0.0016806	-1.8353E-4	-6.4155E-5
2.2613	-0.002373	0.014925	-0.0056248	-0.0086903	-0.0019478	0.005839	-7.7563E-4	-0.0042955	-8.0557E-4	1.1478E-4	-0.0043666	-0.0042472
2.2602	7.6952E-4	0.018067	-0.0013035	-0.004369	0.0028983	0.010685	7.9883E-4	-0.002721	0.0029938	0.0039142	2.2203E-4	3.414E-4
2.2591	-0.0036353	0.013662	-0.0057468	-0.0088123	-0.0031206	0.0046662	-7.2157E-4	-0.0042414	-2.0876E-4	7.1158E-4	-0.0037652	-0.0036458
2.2579	-5.0894E-4	0.016789	-0.0038026	-0.0068681	-9.2241E-4	0.0068644	2.4723E-5	-0.0034951	-4.262E-4	4.9414E-4	-3.7463E-4	-2.5526E-4
2.2568	-8.7966E-4	0.016418	-0.004714	-0.0077795	9.914E-5	0.007886	0.0023233	-0.0011966	5.9034E-4	0.0015107	-4.523E-5	7.4141E-5
2.2556	-0.0034988	0.013799	-0.0012918	-0.0043573	-0.0011338	0.006653	0.0016527	-0.0018672	0.0019674	0.0028877	-0.001932	-0.0018126
2.2545	-8.0492E-4	0.016493	-0.003901	-0.0069665	0.002802	0.010589	-7.8363E-6	-0.0035277	0.0023742	0.0032945	-9.7649E-4	-8.5712E-4
2.2533	0.0013197	0.018617	-0.0037161	-0.0067816	-0.0014903	0.0062966	-2.006E-4	-0.0037204	0.0014178	0.0023381	-0.0027718	-0.0026524
2.2522	-0.0033311	0.013966	-0.0033476	-0.0064131	-3.5641E-5	0.0077512	-0.0022659	-0.0057857	1.9915E-4	0.0011195	-0.0020555	-0.0019362
2.2511	-0.0043013	0.012996	-0.0065406	-0.0096062	-0.0039211	0.0038657	-0.0023806	-0.0059005	-0.0017505	-8.3014E-4	-0.0036411	-0.0035217
2.2499	-0.001324	0.015974	-0.004459	-0.0075245	-2.7676E-4	0.0075101	-0.0032533	-0.0067731	-0.0019808	-0.0010605	-9.7365E-4	-8.5428E-4
2.2488	-0.0019776	0.01532	-0.0029854	-0.0060509	-3.8088E-4	0.0074059	-0.0010389	-0.0045588	9.8045E-4	0.0019008	-0.0011188	-9.9941E-4
2.2476	0.0010782	0.018376	-0.0019661	-0.0050316	0.0030308	0.010818	0.0033633	-1.5653E-4	0.0017087	0.002629	-1.8836E-4	-6.8991E-5
2.2465	-0.0027535	0.014544	-0.0057847	-0.0088502	-0.0040678	0.003719	-0.001677	-0.0051968	5.9497E-4	0.0015153	-0.0044127	-0.0042934
2.2454	-0.0013686	0.015929	-0.0041451	-0.0072106	-0.0010132	0.0067736	-0.002626	-0.0061458	-6.6345E-4	2.5689E-4	-0.0011016	-9.8228E-4
2.2442	-0.0010031	0.016294	-0.0049376	-0.0080031	-0.0016813	0.0061055	-6.9532E-4	-0.0042152	-4.5144E-4	4.6891E-4	-0.0033135	-0.0031941
2.2431	-0.004845	0.012453	-0.0064421	-0.0095076	-0.005033	0.0027538	-0.0039482	-0.007468	-0.0022354	-0.001315	-0.0052794	-0.00516
2.242	-0.0063287	0.010969	-0.0056966	-0.0087621	-0.0056634	0.0021234	-0.0036302	-0.0071501	-0.0046093	-0.0036889	-0.0047356	-0.0046163
2.2409	-0.004436	0.012862	-0.0077151	-0.010781	-0.0043727	0.0034141	-0.0025887	-0.0061086	-0.0013681	-4.4773E-4	-0.0037099	-0.0035906
2.2397	-0.0063451	0.010952	-0.0039344	-0.0069999	-0.002103	0.0056839	-8.0874E-4	-0.0043286	4.2714E-4	0.0013475	-0.0039271	-0.0038077
2.2386	-0.0041014	0.013196	-0.0073322	-0.010398	-0.0050936	0.0026933	-0.0011352	-0.0046551	-7.3005E-4	1.903E-4	-0.0039687	-0.0038493
2.2375	-0.003924	0.013374	-0.0084991	-0.011565	-0.0046516	0.0031352	-0.0033205	-0.0068404	-0.0024544	-0.0015341	-0.005187	-0.0050676
2.2364	-0.0041685	0.013129	-0.0059048	-0.0089703	-0.0027988	0.004988	8.4511E-4	-0.0026747	-9.0919E-4	1.1156E-5	-9.7086E-4	-8.5149E-4
2.2352	-0.0048112	0.012486	-0.0021325	-0.005198	-0.0021602	0.0056266	-8.4589E-4	-0.0043657	1.9681E-4	0.0011172	-0.0036448	-0.0035254
2.2341	-0.0058035	0.011494	-0.0078372	-0.010903	-0.0043854	0.0034014	-8.576E-4	-0.0043774	2.1976E-4	0.0011401	-0.0027197	-0.0026003
2.233	-0.0027911	0.014506	-0.0052816	-0.0083471	4.2431E-4	0.0082111	0.0011707	-0.0023491	-3.7613E-4	5.4421E-4	-0.0035	-0.0033807
2.2319	-0.0024839	0.014814	-0.0051219	-0.0081874	-0.0036035	0.0041833	-0.0021095	-0.0056294	-0.0010103	-8.995E-5	-0.0012621	-0.0011427
2.2308	-0.0026613	0.014636	-0.0059435	-0.009009	-0.0049157	0.0028711	3.6484E-5	-0.0034834	-4.9313E-4	4.2722E-4	-0.0014848	-0.0013654
2.2296	-0.0019343	0.015363	-0.0048576	-0.0079231	-0.0016182	0.0061686	-0.0027009	-0.0062207	-1.8454E-4	7.358E-4	-0.0036216	-0.0035023
2.2285	-0.0052436	0.012054	-0.0066773	-0.0097428	-0.0033008	0.004486	-0.001246	-0.0047658	-0.0014348	-5.1448E-4	-0.0051948	-0.0050754
2.2274	-0.0048548	0.012443	-0.00548	-0.0085455	-0.0051555	0.0026314	-0.0011711	-0.004691	-0.0021571	-0.0012368	-0.0037487	-0.0036293
2.2263	-0.0010944	0.016203	-0.0031122	-0.0061777	-0.0041901	0.0035967	0.0027489	-7.7089E-4	-8.431E-4	7.7247E-5	-0.0024017	-0.0022824
2.2252	-0.0031639	0.014134	-0.0066835	-0.009749	-0.0035458	0.004241	-0.0025911	-0.0061109	7.1802E-5	9.9215E-4	-0.0028836	-0.0027642
2.2241	-0.0044995	0.012798	-0.0046835	-0.007749	-0.0030519	0.0047349	-6.0782E-4	-0.0041277	-7.9093E-4	1.2942E-4	0.0015372	0.0016566
2.223	-0.0091809	0.0081167	-0.0064698	-0.0095353	-0.0044905	0.0032964	-0.0040807	-0.0076005	-0.0039271	-0.0030067	-0.0044287	-0.0043093
2.2218	-0.0044466	0.012851	-0.0054232	-0.0084887	-0.0040127	0.0037742	-0.0017989	-0.0053187	-0.0024858	-0.0015655	-0.0045969	-0.0044776
2.2207	-0.0042272	0.01307	-0.0032434	-0.0063089	-0.0010423	0.0067446	0.001865	-0.0016549	0.0036266	0.004547	0.0019729	0.0020923
2.2196	-0.0047487	0.012549	-0.0055488	-0.0086143	-0.0060932	0.0016937	-6.6263E-5	-0.0035861	-9.4545E-4	-2.5107E-5	-0.0018776	-0.0017583
2.2185	-0.0075753	0.0097222	-0.0053666	-0.0084321	-0.0064157	0.0013712	1.2127E-4	-0.0033986	-0.0028346	-0.0019143	-0.0023965	-0.0022772
2.2174	-0.0050986	0.012199	-0.0030932	-0.0061587	-0.0028778	0.004909	5.4105E-4	-0.0029788	-6.9556E-4	2.2479E-4	-4.2153E-5	7.7218E-5
2.2163	-0.0083336	0.0089639	-0.010503	-0.013569	-0.0091207	-0.0013339	-0.0041348	-0.0076546	-0.0042983	-0.003378	-0.0068061	-0.0066867
2.2152	-0.0083549	0.0089426	-0.0084612	-0.011527	-0.0065098	0.001277	-0.0033303	-0.0068501	-0.0022641	-0.0013438	-0.0011821	-0.0010628
2.2141	-0.0051781	0.012119	-0.0035902	-0.0066557	-0.0023883	0.0053985	2.9123E-4	-0.0032286	-0.0016798	-7.5946E-4	-0.0016756	-0.0015562
2.213	-0.010329	0.0069681	-0.0087725	-0.011838	-0.0087374	-9.5061E-4	-0.0012743	-0.0047942	-0.0022647	-0.0013443	-0.002553	-0.0024336
2.2119	-0.0050786	0.012219	-0.0045652	-0.0076307	-0.003318	0.0044688	0.0028726	-6.4728E-4	-0.0020045	-0.0010842	-9.5743E-4	-8.3806E-4
2.2108	-0.0084824	0.0088152	-0.0078173	-0.010883	-0.0078927	-1.0588E-4	-0.001113	-0.0046329	-0.0023594	-0.001439	-0.0027776	-0.0026582
2.2097	-0.0083158	0.0089817	-0.0097694	-0.012835	-0.0089779	-0.0011911	-0.0033658	-0.0068856	-0.0040463	-0.003126	-0.005112	-0.0049927
2.2086	-0.0075019	0.0097957	-0.007125	-0.01019	-0.005404	0.0023829	-5.7293E-4	-0.0040928	-0.0013497	-4.2938E-4	-0.0039778	-0.0038585
2.2075	-0.01152	0.0057773	-0.0071372	-0.010203	-0.0080295	-2.4272E-4	-0.0038783	-0.0073981	-0.0032429	-0.0023226	-0.0043754	-0.004256
